"iter","plan_ms","patch_ms","edits","ok","notes"
"1","7205","668","1","True","ok"
"2","7015","625","1","True","ok"
"3","6957","642","1","True","ok"
"4","7827","651","1","True","ok"
"5","7587","617","1","True","ok"
"6","7789","742","1","True","ok"
"7","7379","517","1","True","ok"
"8","7167","628","1","True","ok"
"9","7628","686","1","True","ok"
"10","7546","696","1","True","ok"
"11","8680","772","1","True","ok"
"12","8024","597","1","True","ok"
"13","7562","654","1","True","ok"
"14","7383","664","1","True","ok"
"15","7456","558","1","True","ok"
"16","7501","619","1","True","ok"
"17","8166","725","1","True","ok"
"18","8315","698","1","True","ok"
"19","8502","744","1","True","ok"
"20","8421","696","1","True","ok"
