"iter","plan_ms","patch_ms","edits","ok","notes"
"1","8559","796","1","True","ok"
"2","9052","804","1","True","ok"
"3","8166","566","1","True","ok"
"4","7392","702","1","True","ok"
"5","7468","727","1","True","ok"
"6","7713","475","1","True","ok"
"7","6474","624","1","True","ok"
"8","7915","687","1","True","ok"
"9","8294","748","1","True","ok"
"10","8123","689","1","True","ok"
"11","7820","705","1","True","ok"
"12","7834","796","1","True","ok"
"13","7688","691","1","True","ok"
"14","7689","717","1","True","ok"
"15","8099","672","1","True","ok"
"16","7463","619","1","True","ok"
"17","7832","663","1","True","ok"
"18","7415","591","1","True","ok"
"19","7869","701","1","True","ok"
"20","8288","680","1","True","ok"
