"iter","plan_ms","patch_ms","edits","ok","notes"
"1","9285","791","1","True","ok"
"2","8123","645","1","True","ok"
"3","7923","691","1","True","ok"
"4","6618","597","1","True","ok"
"5","7434","695","1","True","ok"
"6","8498","688","1","True","ok"
"7","8173","740","1","True","ok"
"8","8541","694","1","True","ok"
"9","8286","713","1","True","ok"
"10","8638","807","1","True","ok"
"11","8237","673","1","True","ok"
"12","8646","745","1","True","ok"
"13","8131","674","1","True","ok"
"14","8597","682","1","True","ok"
"15","9207","727","1","True","ok"
"16","9352","727","1","True","ok"
"17","8192","674","1","True","ok"
"18","8370","721","1","True","ok"
"19","8351","675","1","True","ok"
"20","8520","730","1","True","ok"
