"iter","plan_ms","patch_ms","edits","ok","notes"
"1","8403","580","1","True","ok"
"2","8098","664","1","True","ok"
"3","8358","733","1","True","ok"
"4","8410","769","1","True","ok"
"5","8543","709","1","True","ok"
"6","8586","749","1","True","ok"
"7","8908","829","1","True","ok"
"8","9102","728","1","True","ok"
"9","8983","808","1","True","ok"
"10","9372","740","1","True","ok"
"11","9267","819","1","True","ok"
"12","9271","712","1","True","ok"
"13","8913","813","1","True","ok"
"14","9306","691","1","True","ok"
"15","8715","781","1","True","ok"
"16","8949","702","1","True","ok"
"17","9420","791","1","True","ok"
"18","9068","740","1","True","ok"
"19","9155","810","1","True","ok"
"20","8882","708","1","True","ok"
