"iter","plan_ms","patch_ms","edits","ok","notes"
"1","7122","622","1","True","ok"
"2","7697","617","1","True","ok"
"3","7521","654","1","True","ok"
"4","7639","621","1","True","ok"
"5","7573","625","1","True","ok"
"6","7689","619","1","True","ok"
"7","7501","651","1","True","ok"
"8","7621","643","1","True","ok"
"9","7509","636","1","True","ok"
"10","7543","635","1","True","ok"
"11","7647","636","1","True","ok"
"12","7526","626","1","True","ok"
"13","7620","647","1","True","ok"
"14","7593","632","1","True","ok"
"15","7668","631","1","True","ok"
"16","7559","630","1","True","ok"
"17","7528","635","1","True","ok"
"18","7528","616","1","True","ok"
"19","7601","640","1","True","ok"
"20","7677","627","1","True","ok"
