"iter","plan_ms","patch_ms","edits","ok","notes"
"1","7223","637","1","True","ok"
"2","8075","716","1","True","ok"
"3","8179","693","1","True","ok"
"4","8186","695","1","True","ok"
"5","8434","770","1","True","ok"
"6","8558","683","1","True","ok"
"7","8335","724","1","True","ok"
"8","8649","724","1","True","ok"
"9","8326","826","1","True","ok"
"10","8462","675","1","True","ok"
"11","8131","728","1","True","ok"
"12","8679","704","1","True","ok"
"13","8230","722","1","True","ok"
"14","9251","792","1","True","ok"
"15","9186","793","1","True","ok"
"16","9549","754","1","True","ok"
"17","9098","825","1","True","ok"
"18","9455","773","1","True","ok"
"19","9104","793","1","True","ok"
"20","9643","766","1","True","ok"
